אֵב	ev
אֱנוֹשׁ	enosh
אֱנוֹשׁוּת	enoshut
אֱנוֹשִׁי	enosh
אֶנְזִים	enziym
אֲנַחְנוּ	anakhnu
אֶנְטוֹמוֹלוֹגְיָה	entomologya
אַנְטִי־	anti-
אַנְטִיבְּיוֹטִיקָה	antibyotika
אַנְטִישֵׁמִי	antishemi
אַנְטֶנָה	antena
אַנְטְרֶקוֹט	antrekot
אֲנִי	ani
אֳנִיָּה	oniya
אֲנִי לֹא מְדַבֵּר אַנְגְּלִית	ani lo medaber anglit
אֲנִי לֹא מְדַבֵּר עִבְרִית	ani lo medaber ivrit
אֲנִי לֹא מְדַבֶּרֶת אַנְגְּלִית	ani lo medaberet anglit
אֲנִי לֹא מְדַבֶּרֶת עִבְרִית	ani lo medaberet ivrit
אֲנִי־עֶלְיוֹן	ani-elyon
אני צריך להזמין מונית	ani tsarikh lehazmin monit
אני צריך מפה	ani tsarikh mapa m
אני צריך מפה של העיר	ani tsarikh mapa shel hair m
אני צריכה מפה	ani tsrikha mapa f
אני צריכה מפה של העיר	ani tsrikha mapa shel hair f
אָנֹכִי	anochi
אָנֹכִי	anokhi
אנ׳לא	anlo
אָנָנָס	ananas
אַנָּס	anas
אָנַס	anas
אֹנֶס	ones
אֶנְצִיקְלוֹפֶּדְיָה	entsiklopedya
אֶנְצִיקְלוֹפֶּדְיוֹת	entsiklopedyot
אַנְשֵׁי	anshe
אֲנָשִׁים	anashim
אָסָא	asa
אָסוֹן	ason
אָסוּר	asur
אִסּוּר	isur
אֶסְטוֹנְיָה	estonya
אֶסְטוֹנִית	estonit
אַסְטְרוֹנוֹמְיָה	astronomya
אַסְטְרוֹפִיזִיקָה	astrofiziqa
אַסְטְרָטֶגְיָה	astrategiya
אַסְיָה	asya
אָסִימְפְּטוֹטָה	asimptota
אָסִיר	asir
אִסְלָאם	islam
אסלאם סוני	islam suni
אסלאם שיעי	islam shii
אִסְלָאמִי	islami
אַסְלָה	asla
אָסַף	asaf
אֹסֶף	osef
אֹסֶף	osef
אֲסֵפָה	asefa
אֶסְפָהָאן	esfahan
אַסְפִּירִין	aspirin
אֶסְפֶּרַנְטוֹ	esperanto
אָסְרָה	asra
אָסֻרָה	asura
אֱסָרָהּ	esarah
אֶסְתֵּר	ester
אַעֲלֶה	aale
אֶעֱלֶה	eele
אֶעֱשֶׂה	eese
אַף	af
אַף־עַל־פִּי	af al pi
אָפָה	afa
אפ׳חד	afkhad
אֶפְחַד	efkhad
אַפִּיפְיוֹר	apifyor
אֲפִיקוֹמָן	afikoman
אֲפִלּוּ	afilu
אַפְּלִיקַצְיָה	aplikatsya
אֹפֶן	ofen
אָפְנָה	ofna
אֶפֶס	efes
אָפָּצִ׳י	apachi
אַפְּצִ׳י	apchi
אֹפֶק	ofek
אָפְקִי	ofki
אָפְקִיּוּת	ofkiyut
אָפֹר	afor
אֵפֶר	efer
אֶפְרוֹחַ	efroakh
אַפְּרִיל	april
אֶפְרַיִם	efrayim
אַפְרִיקָה	afrika
אפרסקים	afarsekim
אֲפַרְפַּר	afarpar
אֶפְרָת	efrat
אֶפְשַׁר	efshar
אִפְשֵׁר	ifsher
אָפַּתְיָה	apatia
אָץ	ats
אֶצְבַּע	etsba
אֶצְבַּעוֹת	etzbaot
אַצָּה	atsa
אִצְטַדְיוֹן	itstadyon
אָצִיל	atsil
אַצִּיל	atzil
אֵצֶל	etsel
אֲצֻלָּה	atsula
אֶצְלוֹ	etslo
אֶצְלֵךְ	etzlekh
אֶצְלְךָ	etzlkha
אֶקְדָּח	ekdakh
אָקָדֶמְיָה	akademya
אֶקוֹלוֹגִי	ekologi
אֶקוֹלוֹגְיָה	ekologya
אָקוֹרְד	akord
אַקְלִים	aklim
אַקְסֵסוֹרִי	aksesori
אַקְשִׁיב	akshiv
אַרְאֶה	are
אֵרָאֶה	erae
אֶרְאֶה	ere
אָרַב	arav
אַרְבָּה	arba
אַרְבֶּה	arbe
אַרְבַּע	arba
אַרְבָּעָה	arbaa
אַרְבָּעִים	arbaim
אַרְבַּע עֶשְׂרֵה	arba esre
אַרְגּוֹן	argon
אִרְגּוּן	irgun
אַרְגָּמָן	argaman
אֲרוּחָה	arukha
אֲרוּחוֹת	aruchot
ארוחת ערב	arukhat erev
אָרוֹן	aron
אֲרוֹנוֹת	aronot
אָרוּס	arus
אֶרוֹס	eros
אֵרוּעַ	erua
אָרוּר	arur
אָרַז	araz
אֶרֶז	erez
אֹרֶז	orez
אֹרַח	orakh
אַרְטִישׁוֹק	artishoq
אֲרִי	ari
אֲרִיאֵל	ariel
אַרְיֵה	arye
אֲרָיוֹת	arayot
אָרִיקָה	arika
אָרֹךְ	arokh
אֹרֶךְ	orekh
אֹרֶךְ גַּל	orekh gal
אַרְכִיּוֹן	arkhion
אַרְכִיטֶקְטוּרָה	arkhitektura
אַרְכִיפֶּלָג	arkhipelag
אָרַכְנוֹפוֹבְּיָה	arakhnofobya
אֲרַם	aram
אַרְמוֹן	armon
אֲרַמִּי	arami
אֲרָמִית	aramit
אַרְמֶנִי	armeni
אַרְמֶנְיָה	armenya
ארמניות	armeniyot
אַרְמֶנִית	armenit
אֹרֶן	oren
אַרְנָב	arnav
אַרְנָק	arnak
אֶרֶס	eres
אֶרֶץ	eretz
אָרֻצָה	arutsa
אֶרְצֶה	ertse
אֲרָצוֹת	aratzot
אַרְצוֹת הַבְּרִית	artsot habrit
אַרְצִי	artsi
אָרַר	arar
אֵשׁ	esh
אַשְׁדּוֹד	ashdod
אִשָּׁה	isha
אִשָּׁה	ishah
אָשׁוּבָה	ashuva
אַשּׁוּר	ashur
אֶשֶׁךְ	eshekh
אֶשְׁכּוֹלִיוֹת	eshkoliot
אֶשְׁכּוֹלִית	eshkolit
אֶשְׁכֵּיִים	eshkhayim
אֲשָׁכִים	ashakhim
אַשְׁכְּנַזִּי	ashkenazi
אַשְׁלְגָן	ashlegan
אֶשְׁלָחֲךָ	eshlachacha
אַשְׁלָיָה	ashlaya
אַשְׁמָה	ashma
אֶשְׁמַע	eshma
אֶשְׁמֹר	eshmor
אַשְׁמֹרֶת	ashmoret
אַשְׁקְלוֹן	ashklon
אֲשֶׁר	asher
אָשֵׁר	asher
אִשֵּׁר	isher
אֹשֶׁר	osher
אֻשַּׁר	ushar
אַשְׁרַאי	ashrai
אֲשֵׁרָה	ashera
אַשְׁרָה	ashra
אִשְׁרֵר	ishrer
אֵשֶׁת	eshet
אֵשֶׁת אִישׁ	eshet ish
אִשְׁתּוֹ	ishto
אשתיק	ashtik
אֶשְׁתָּקַד	eshtakad
אַתְּ	at
אֵת	et
אֹת	ot
אַתֶּאִיְזם	ateizm
אֵת, אֶת־	et, et-
אֶתְגָּר	etgar
אַתָּה	ata
אִתָּהּ	itah
אִתּוֹ	ito
אֹתוֹ	oto
אָתוֹן	aton
אֲתוֹנוֹת	atonot
אֹתוֹת	otot
אִתִּי	iti
אֶתְכֶם	etchem
אִתְּכֶם	itchem
אִתְּכֶם	itkhem
אִתְּכֶן	itkhen
אֲתֶּם	atem
אִתָּם	itam
אֶתְמוֹל	etmol
אַתֶּן	aten
אֶתֵּן	eten
אִתָּנוּ	itanu
אֶתְפַּשֵּׁט	etpashet
אֶתְרוֹג	etrog
אֶתְרוֹגִים	etrogim
אֹתֹת	otot
בְּ־	b-
בָּא	ba
בֹּא	bo
בָּאג	bag
בָּאָה	baa
בָּאָה	baa
בֹּאָהּ	boah
בָּאוּ	bau
בָּאוּלִינְגּ	bauling
בָּאִים	baim
בָּא לְ־	ba le-
בֶּאֱמֶת	beemet
בָּאסָה	basa
בָּא עַל הֶחָתוּם	ba al hekhatum
בֵּאֵר	beer
בְּאֵר	ber
בְּאֵר שֶׁבַע	ber sheva
בֻּבָּה	buba
בָּבֶל	bavel
בָּבְלִי	bavli
בַּג	bag
בָּגַד	bagad
בֶּגֶד	beged
בגד ים	beged yam
בְּגָדִים	bgadim
בָּגֶט	baget
בִּגְלַל	biglal
בִּגְלַל שֶׁ־	biglal she-
בג״ץ	b.g.ts.
בַּגְרוּת	bagrut
בַּד	bad
בַּד	bad
בָּדָד	badad
בֻּדַּד	budad
בָּדָה	bada
בִּדֵּחַ	bideakh
בַּדְחָן	badkhan
בִּדְיוֹן	bidyon
בְּדִיּוּק	bdiyuk
בְּדִיחָה	bdikha
בְּדִיחוֹת	bdichot
בְּדִיעֲבַד	bediavad
בְּדִיקָה	bdika
בָּדַל	badal
בְּדָל	bdal
בִּדֵּל	bidel
בְּדֹלַח	bdolakh
בַּדְלָנוּת	badlanut
בָּדַק	badak
בָּהָאִי	bahai
בָּהִיר	bahir
בְּהִירָה	behira
בְּהִירוּת	bhirut
בְּהֶכְרֵחַ	bhekhreakh
‎‎בָּהֶם	bahem
בְּהֵמָה	behema
בְּהֵמוֹת	behemot
בְּהַצְלָחָה	bhatzlakha
בְּהָקִיץ	bhaqits
בּוֹ	bo
בּוֹא	bo
בּוֹגוֹטָה	bogota
בּוֹדַד	bodad
בּוֹדֵד	boded
בּוֹלֵט	bolet
בּוּל עֵץ	bul ets
בּוּמֶרַנְג	bumerang
בוֹנוּס	bonus
בּוֹסְפּוֹרוּס	bosporus
בּוּעָה	bua
בּוֹקֵר	boker
בּוּקָרֶשְׂט	bukarest
בּוֹר	bor
בּוּר	bur
בוּר	bur
בּוֹרְבּוֹן	borbon
בּוֹר מַיִם	bor mayim
בּוּרְסָה	bursa
בּוּרֶקָס	burekas
בַּז	baz
בָּז	baz
בִּזְבֵּז	bizbez
בִּזְהִירוּת	bizhirut
בִּזְכוּת	bizkhut
בַּזֶּלֶת	bazelet
בָּחוּר	bakhur
בַּחוּרָה	bakhura
בְּחִילָה	bchila
בְּחִינָה	bkhina
בְּחִירָה	bkhira
בְּחִירוֹת	bkhirot
בְּחֶמְלָה	bkhemlah
בָּחַר	bakhar
בִּטֵּא	bite
בֻּטָּא	buta
בָּטוּחַ	batuakh
בִּטּוּחַ	bituakh
בִּטּוּי	bitui
בָּטַח	batakh
בֶּטַח	betakh
בִּטָּחוֹן	bitakhon
בִּטָּחוֹן עַצְמִי	bitakhon atzmi
בִּטְחוֹנִי	bitkhoni
בָּטָטָה	batata
בָּטַל	batal
בָּטֵל	batel
בִּטֵּל	bitel
בֻּטַּל	butal
בֶּטֶן	beten
בֹּטֶן	boten
בִּי	bi
בֵּיְגֶּל	beigel
בֵּיְגָּלֶה	beigale
בִּיג מֶק	big mek
בִּיג מֶקִים	big mekim
בִּידוּד	bidud
בִּיוֹ־	biyo- , bio-
בִּיוֹטֶכְנוֹלוֹגְיָה	biotekhnologya
ביוטכנולוגיות	biotekhnologyot
ביוטכנולוגית	biotekhnologyat
בִּיוֹלוֹג	biolog
בִּיוֹלוֹגְיָה	biologia
בִּיּוֹמֶטְרִיָּה	biyometriya
בִּיּוֹמַסָּה	biyomasa
בְּיַחַד	byakhad
בִּיט	bit
בִּימָה	bima
בֵּין	bein
בִּינָה	bina
בִּינָה מְלָאכוּתִית	bina melakhutit
בִּינַת	binat
בֵּינְתַיִם	beintayim, beinatayim
בֵּיצָה	betza
בֵּיצִים	beytsim
בֵּיצֵפָר	beitsefer
בִּירָה	bira
בִּירָה	bira
בַּיְשָׁן	bayshan
בַּיִת	bayit
בֵּי״ת	beyt
בֵּית	beyt
בִּיֵּת	biyet
בֻּיַּת	buyat
בֵּיתָא	beta
בֵּית דִּין	bet din
בַּיְתָה	bayta
בֵּיתָה	beta
בֵּיתָהּ	betah
בֵּיתוֹ	beto
בֵּית־חוֹלִים	beit-kholim
בֵּית חֲרֹשֶׁת	beit-kharoshet
בֵּית־כְּנֶסֶת	beit-kneset
בֵּית לֶחֶם	bet lekhem
בית מלון	beit malon
בֵיתֵנוּ	beitenu
בֵּית סֵפֶר	bet sefer
בֵּית־קָפֶה	beit-kafe
בֵּית שֶׁמֶשׁ	beyt shemesh
בָּכָה	bakha
בִּכָּה	bika
בְּכַוָּנָה	bkhavana
בְּכוֹר	bkhor
בֶּכִי	bekhi
בַּכְיָן	bakhyan
בְּכָל אֹפֶן	bkhol ofen
בְּכָל זֹאת	bkhol zot
בִּכְלָל	bikhlal
בֶּכֶר	bekher
בִּכֵּר	biker
בְּכֹר	bkhor
בַּכְרִי	bachri
בִּכְרִי	bichri
בְּכֹרֶךָ	bchorecha
בְּלֹא	blo
בֵּלָארוּס	belarus
בִּלְבּוּל	bilbul
בִּלְבֵּל	bilbel
בֶּלְגְּיָה	belgya
בָּלָגָן	balagan
בָּלָה	bala
בִּלָּה	bila
בִּלְהָה	bilha
בְּלוֹג	blog
בַּלּוּט	balut
בַּלּוּטָה	baluta
בָּלוּי	baluy
בִּלּוּי	biluy
בָּלוֹן	balon
בָּלֵט	balet
בְּלִי	bli
בְּלִילָה	blila
בָּלַל	balal
בָּלַע	bala
בִּלֵּעַ	bilea
בַּלְקָנִי	balkani
בַּלָּשׁ	balash
בַּלְשָׁן	balshan
בִּלְשָׁן	bilshan
בַּלְשָׁנוּת	balshanut
בִּלְתִּי	bilti
‎בָּם	bam
בַּמַּאי	bamay
בַּמְבּוּק	bambuk
בָּמָה	bama
